name,badge_id,name_kurz,grund
Raymond Loretan,145,R. Loretan, weil er offiziell „invité“ und inoffiziell die SRG vertritt und in sämtlichen hochrangigen Institutionen im Gesundheitswesen Einsitz hat
Barbara Hayoz,229,B. Hayoz, weil sie Ex-Gemeinderätin ist und in vielen Unternehmensgremien (CSS Architektenbüros) Einsitz hat
Daniel Heller,301,D. Heller,  weil er neben Farner auch die Clientis Bank und andere Aargauer Unternehmen/Institutionen vertritt
Chantal Balet,83,C. Balet, weil sie Versicherungen und Institutionen (Banque Cantonale Vaudoise ) aus dem Waadtland vertritt
Josef Bollag,168,J. Bollag, weil er neben dem Institute für Security Analysis and Strategic Networking eine eigene Firma betreibt und viele weitere Unternehmen (Immobilienfirmen) unterhält
